"p1","eff"
"http://dbpedia.org/property/period",8
"http://dbpedia.org/property/feastDay",8
"http://dbpedia.org/property/band",8
"http://dbpedia.org/property/background",8
"http://dbpedia.org/property/display",8
"http://dbpedia.org/property/spalten",8
"http://dbpedia.org/property/family",8
"http://dbpedia.org/property/worldchampion",8
"http://dbpedia.org/property/blp",7
"http://dbpedia.org/property/significantProjects",7
"http://dbpedia.org/property/viaf",7
"http://dbpedia.org/ontology/affiliation",7
"http://dbpedia.org/property/repecPrefix",7
"http://dbpedia.org/property/consecration",7
"http://dbpedia.org/property/height",7
"http://dbpedia.org/property/previousPost",7
"http://dbpedia.org/property/branch",7
"http://dbpedia.org/property/works",7
"http://dbpedia.org/property/label",7
"http://dbpedia.org/property/language",7
"http://dbpedia.org/property/reference",7
"http://dbpedia.org/property/significantAdvance",7
"http://dbpedia.org/property/totalWidth",7
"http://dbpedia.org/property/repecId",7
"http://dbpedia.org/property/mode",7
"http://xmlns.com/foaf/0.1/givenName",7
"http://dbpedia.org/property/onlysourced",6
"http://dbpedia.org/ontology/city",6
"http://dbpedia.org/property/suppressfields",6
"http://dbpedia.org/ontology/background",6
"http://dbpedia.org/property/link",6
"http://dbpedia.org/property/doi",6
"http://dbpedia.org/property/battles",6
"http://dbpedia.org/property/yearsactive",6
"http://dbpedia.org/property/leader",6
"http://dbpedia.org/property/reign",6
"http://dbpedia.org/property/ordination",6
"http://dbpedia.org/property/preNominals",6
"http://dbpedia.org/ontology/president",6
"http://dbpedia.org/property/appointed",6
"http://dbpedia.org/property/monarch",5
"http://dbpedia.org/property/description",5
"http://dbpedia.org/property/thesis2Url",5
"http://dbpedia.org/ontology/serviceStartYear",5
"http://dbpedia.org/property/significantAwards",5
"http://dbpedia.org/property/placeofburial",5
"http://dbpedia.org/ontology/movement",5
"http://dbpedia.org/ontology/significantProject",5
"http://dbpedia.org/property/director",5
"http://dbpedia.org/property/honours",5
"http://dbpedia.org/ontology/restingPlacePosition",5
"http://dbpedia.org/property/subject",5
"http://dbpedia.org/property/fullName",5
"http://dbpedia.org/property/onlinebooks",5
"http://dbpedia.org/property/bgcolor",5
"http://dbpedia.org/property/consecratedBy",5
"http://dbpedia.org/ontology/serviceEndYear",5
"http://dbpedia.org/property/j",5
