,occupation,effectif,classes
444,Descriptive geometry,1,math
445,Development economics,1,sci_hum
446,Dialectologist,1,sci_hum
447,Computer programmer,1,ing_info
448,Differential Geometry,1,math
449,Differential Topology,1,math
450,Differential algebra,1,math
451,Differential calculus,1,math
452,Differential form,1,math
453,Digital art,1,art
454,Crystallography,1,sci_nat
455,Cryptology,1,autre
456,Cryptographer,1,autre
457,Critic,1,none
458,Cosmographer,1,sci_nat
459,Convex optimization,1,math
460,Control Theory,1,math
461,Continuum Mechanics,1,sci_nat
462,Construction worker,1,autre
463,Constitutive equation,1,math
464,Conics,1,math
465,Conic Sections,1,math
466,Conformal field theory,1,math
467,Configuration (geometry),1,math
468,Conductor (music),1,art
469,Computing,1,ing_info
470,Computer sciences,1,ing_info
471,Cellular automaton,1,ing_info
472,Celestial Mechanics,1,sci_nat
473,Math education,1,none
474,Applied mathematician,1,math
475,Analytic philosophy,1,philo
476,Antenna (radio),1,ing_info
477,Anthology,1,none
478,Anthropologist,1,sci_hum
479,Antiquary,1,none
480,Applied chemistry,1,sci_nat
481,Approximation,1,math
482,Almost periodic function,1,math
483,Approximation theory,1,math
484,Archaeologist,1,sci_hum
485,Archaeology,1,sci_hum
486,Archdeacon,1,theo
487,Architectural theory,1,art
488,Arithmetic geometry,1,math
489,Analytic Number Theory,1,math
490,Algorithmic information theory,1,math
491,Cartography,1,sci_hum
492,Actuarial mathematics,1,math
493,Academic,1,none
494,Academic Administration,1,none
495,Acoustic streaming,1,none
496,Activism,1,none
497,Activist,1,none
498,Actor,1,art
499,Actuarial science,1,none
500,Algebraic group,1,math
501,Adirondack Mountains,1,none
502,Aeronautical engineering,1,ing_info
503,African-American history,1,sci_hum
504,Algebraic Number Theory,1,math
505,Algebraic Topology,1,math
506,Algebraic combinatorics,1,math
507,Army officer,1,none
508,Artificial Intelligence,1,ing_info
509,Artin approximation theorem,1,math
510,Byzantine studies,1,sci_hum
511,Biometrics,1,sci_nat
512,Biophysics,1,sci_nat
513,Board of directors,1,none
514,Boolean algebra (structure),1,math
515,Botanics,1,sci_nat
516,British People,1,none
517,C*-algebra,1,math
518,Artist,1,art
519,Cadastral,1,none
520,Cadastre,1,none
521,Calculus of Variations,1,math
522,Cancer research,1,sci_nat
523,Canon law of the Catholic Church,1,theo
524,Captain (nautical),1,none
525,Biofluid,1,sci_nat
526,Bifurcation theory,1,math
527,Bibliometrics,1,none
528,Bertelsmann,1,none
529,Bayesian statistics,1,math
530,Banach algebras,1,math
531,Axiomatic set theory,1,math
532,Aviation,1,autre
533,Avadhanam,1,none
534,Automorphic form,1,math
535,Automatic control,1,none
536,Automata theory,1,none
537,Atomic physics,1,sci_nat
538,Atmospheric dynamics,1,sci_nat
539,Asymptotic expansion,1,math
540,Astrophysicist,1,sci_nat
541,Astrobiology,1,sci_nat
542,Diophantine geometry,1,math
543,Discrimination,1,none
544,Distributed computing,1,ing_info
545,Ichthyology,1,sci_nat
546,Hydromagnetics,1,sci_nat
547,Hydrostatic equilibrium,1,sci_nat
548,Hyperbolic geometry,1,math
549,Hyperbolic partial differential equations,1,math
550,Hypercomplex analysis,1,math
551,Abolitionism in the United States,1,none
552,Iconography,1,sci_hum
553,Hydroacoustics,1,sci_nat
554,Idealism,1,none
555,Illusionist,1,none
556,Immunobiology,1,sci_nat
557,Informatics (academic field),1,ing_info
558,Information Science,1,ing_info
559,Insurance,1,none
560,Hydrographer,1,none
561,Humanist,1,philo
562,Drug design,1,none
563,Homology (mathematics),1,math
564,Historians,1,sci_hum
565,Historical linguistics,1,sci_hum
566,History,1,sci_hum
567,History of logic,1,sci_hum
568,History of math,1,sci_hum
569,Homological algebra,1,math
570,Homotopy theory,1,math
571,Humanism,1,philo
572,Homotopy type theory,1,math
573,Horologist,1,ing_info
574,Horology,1,ing_info
575,Hot air ballooning,1,none
576,Human Computer,1,ing_info
577,Human computer,1,ing_info
578,Integral (mathematics),1,math
579,Integral geometry,1,math
580,Intellectual history,1,sci_hum
581,Ludovica Military Academy,1,none
582,Lie groups,1,none
583,Linear Algebra,1,math
584,Linear algebra,1,math
585,Liquid crystal,1,sci_nat
586,Logic in Computer Science,1,ing_info
587,Logician,1,philo
588,Magic square,1,none
589,Inti Films,1,none
590,Magnetism,1,sci_nat
591,Magnetohydrodynamics,1,sci_nat
592,Magyar Cserkészszövetség,1,none
593,Markov chain,1,math
594,Markovian process,1,math
595,Materials Science,1,none
596,Lie algebras,1,math
597,Lie algebra,1,math
598,Legislator,1,autre
599,Lecturer,1,autre
600,Lebesgue integration,1,math
601,Lawyer,1,autre
602,Lattice (order),1,none
603,Laplace transform,1,math
604,Landlord,1,none
605,Land Surveyor,1,none
606,Knot theory,1,math
607,Knot polynomial,1,math
608,Kleinian group,1,math
609,Kharkiv Human Rights Protection Group,1,none
610,Jurisprudence,1,autre
611,Journalist,1,autre
612,Iowa State University,1,none
613,Higher education,1,none
614,Hermeticism,1,none
615,Hedge fund,1,none
616,Film,1,art
617,Eugenics,1,none
618,Evolutionary biology,1,none
619,Explorer,1,none
620,Extremal graph theory,1,math
621,Extreme value theory,1,math
622,Farmer,1,autre
623,Film criticism,1,autre
624,Finite model theory,1,math
625,Film theory,1,art
626,Finance,1,sci_hum
627,Financial analyst,1,sci_hum
628,Finite element method,1,math
629,Finite geometry,1,math
630,Finite group,1,math
631,Euclidean geometry,1,math
632,Ethnomathematics,1,math
633,Essayist,1,art
634,Ergodic theory,1,math
635,Epigraphy,1,sci_hum
636,Epidemiology,1,sci_nat
637,Electronic engineering,1,ing_info
638,Electronic Engineering,1,ing_info
639,Electricity,1,sci_nat
640,Electrical engineer,1,ing_info
641,Electrical Engineering,1,ing_info
642,Electrical,1,none
643,Economic theory,1,sci_hum
644,Economic history,1,sci_hum
645,Economic Development,1,sci_hum
