,relation,periode,effectif
701,Palestine-Israel,1801-1850,0
702,Palestine-Israel,1851-1900,0
703,Palestine-Israel,1901-1950,1
704,Palestine-Israel,1951-2000,2
705,Palestine-Palestine,1451-1800,0
706,Palestine-Palestine,1801-1850,0
707,Palestine-Palestine,1851-1900,0
708,Palestine-Palestine,1901-1950,1
709,Palestine-Palestine,1951-2000,1
710,Palestine-Russia,1451-1800,0
711,Palestine-Russia,1801-1850,0
712,Palestine-Russia,1851-1900,0
713,Palestine-Russia,1901-1950,1
714,Palestine-Russia,1951-2000,0
715,Palestine-United Kingdom,1451-1800,0
716,Palestine-United Kingdom,1801-1850,0
717,Palestine-United Kingdom,1851-1900,0
718,Palestine-United Kingdom,1901-1950,1
719,Palestine-United Kingdom,1951-2000,3
720,Palestine-United States of America,1451-1800,0
721,Palestine-United States of America,1801-1850,0
722,Palestine-United States of America,1851-1900,0
723,Palestine-United States of America,1901-1950,8
724,Palestine-United States of America,1951-2000,4
725,Peru-Peru,1451-1800,0
726,Peru-Peru,1801-1850,0
727,Peru-Peru,1851-1900,1
728,Peru-Peru,1901-1950,0
729,Peru-Peru,1951-2000,0
730,Poland-Austria,1451-1800,1
