,0
967,math
968,math
969,math
970,math
971,math
972,math
973,math
974,sci_nat
975,math
976,math
977,math
978,math
979,math
980,math
981,math
982,math
983,math
984,math
985,math
986,math
987,math
988,math
989,sci_nat
990,math
991,math
992,autre
993,autre
994,math
995,sci_hum
996,phylo
997,math
998,math
999,math
1000,math
1001,math
1002,math
1003,math
1004,autre
1005,math
1006,math
1007,math
1008,ing_info
1009,math
1010,sci_nat
1011,math
1012,math
1013,autre
1014,math
1015,math
1016,sci_nat
1017,math
1018,math
1019,math
1020,math
1021,math
1022,autre
1023,math
1024,math
1025,math
1026,math
1027,sci_nat
1028,sci_nat
1029,autre
1030,math
1031,math
1032,autre
1033,math
1034,math
1035,math
1036,sci_nat
1037,sci_nat
1038,math
1039,math
1040,math
1041,math
1042,math
1043,autre
1044,math
1045,autre
1046,autre
1047,autre
1048,math
1049,autre
1050,autre
1051,math
1052,sci_nat
1053,sci_hum
1054,sci_nat
1055,math
1056,math
1057,math
1058,math
1059,autre
1060,sci_nat
1061,math
1062,math
1063,math
1064,autre
1065,math
1066,math
1067,math
1068,autre
1069,autre
1070,math
1071,sci_nat
1072,math
1073,math
1074,math
1075,math
1076,sci_hum
1077,math
1078,math
1079,math
1080,sci_nat
1081,phylo
1082,autre
1083,math
1084,math
1085,math
1086,math
1087,math
1088,autre
1089,autre
1090,autre
1091,math
1092,math
1093,math
1094,math
1095,math
1096,math
1097,math
1098,math
1099,math
1100,math
1101,math
1102,math
1103,math
1104,math
1105,math
1106,math
1107,math
1108,math
1109,ing_info
1110,math
1111,math
1112,math
1113,math
1114,math
1115,sci_nat
1116,math
1117,math
1118,math
1119,math
1120,math
1121,autre
1122,autre
1123,math
1124,math
1125,math
1126,math
1127,math
1128,math
1129,math
1130,phylo
1131,math
1132,autre
1133,autre
1134,autre
1135,autre
1136,sci_nat
1137,math
1138,math
1139,math
1140,autre
1141,math
1142,math
1143,autre
1144,math
1145,math
1146,math
1147,math
1148,autre
1149,math
1150,autre
1151,math
1152,math
1153,autre
1154,autre
1155,sci_nat
1156,math
1157,math
1158,math
1159,math
1160,math
1161,sci_nat
1162,math
1163,math
1164,math
1165,sci_nat
1166,autre
1167,math
1168,math
1169,math
1170,math
1171,autre
1172,math
1173,autre
1174,autre
1175,autre
1176,math
1177,math
1178,sci_nat
1179,math
1180,sci_nat
1181,math
1182,math
1183,math
1184,math
1185,math
1186,math
1187,sci_nat
1188,math
1189,math
1190,math
1191,autre
1192,math
1193,math
1194,math
1195,math
1196,math
1197,math
1198,math
1199,math
1200,math
1201,math
1202,math
1203,autre
1204,math
1205,ing_info
1206,autre
1207,math
1208,math
1209,math
1210,math
1211,math
1212,autre
1213,autre
1214,sci_nat
1215,math
1216,sci_nat
1217,sci_nat
1218,math
1219,math
1220,math
1221,math
1222,math
1223,ing_info
1224,ing_info
1225,math
1226,math
1227,math
1228,sci_nat
1229,math
1230,autre
1231,autre
1232,math
1233,math
1234,autre
1235,math
1236,math
1237,math
1238,math
1239,autre
1240,math
1241,math
1242,math
1243,math
1244,math
1245,math
1246,math
1247,autre
1248,math
1249,math
1250,math
1251,autre
1252,math
1253,math
1254,math
1255,sci_nat
