"subject_uri","target","field","birthYear"
"http://dbpedia.org/resource/Thomas_Sowell","http://dbpedia.org/resource/Political_Sociology","Political Sociology",1930
"http://dbpedia.org/resource/Wiktor_Eckhaus","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Anatoliy_Skorokhod","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Norman_Johnson_(mathematician)","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Padam_Chand_Jain","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Carl_S._Herz","http://dbpedia.org/resource/Harmonic_analysis","Harmonic analysis",1930
"http://dbpedia.org/resource/Padam_Chand_Jain","http://dbpedia.org/resource/Partial_differential_equations","Partial differential equations",1930
"http://dbpedia.org/resource/Wiktor_Eckhaus","http://dbpedia.org/resource/Aerodynamics","Aerodynamics",1930
"http://dbpedia.org/resource/Anatoliy_Skorokhod","http://dbpedia.org/resource/Stochastic_differential_equation","Stochastic differential equation",1930
"http://dbpedia.org/resource/Anatoliy_Skorokhod","http://dbpedia.org/resource/Markovian_process","Markovian process",1930
"http://dbpedia.org/resource/Jacob_T._Schwartz","http://dbpedia.org/resource/Applied_mathematics","Applied mathematics",1930
"http://dbpedia.org/resource/Jacob_T._Schwartz","http://dbpedia.org/resource/Computer_sciences","Computer sciences",1930
"http://dbpedia.org/resource/Lawrence_Paul_Horwitz","http://dbpedia.org/resource/Physics","Physics",1930
"http://dbpedia.org/resource/Lawrence_Paul_Horwitz","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Sergio_Campanato","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Robert_Aumann","http://dbpedia.org/resource/Game_theory","Game theory",1930
"http://dbpedia.org/resource/Robert_Aumann","http://dbpedia.org/resource/Mathematical_economics","Mathematical economics",1930
"http://dbpedia.org/resource/Wang_Yuan_(mathematician)","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Jacques_Tits","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Ashot_Petrosian","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/John_Brillhart","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Donald_J._Newman","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Pyotr_Ufimtsev","http://dbpedia.org/resource/Mathematics","Mathematics",1931
"http://dbpedia.org/resource/Basil_Gordon","http://dbpedia.org/resource/Mathematics","Mathematics",1931
"http://dbpedia.org/resource/Richard_L._Bishop","http://dbpedia.org/resource/Mathematics","Mathematics",1931
"http://dbpedia.org/resource/Pyotr_Ufimtsev","http://dbpedia.org/resource/Physics","Physics",1931
"http://dbpedia.org/resource/Valentina_Borok","http://dbpedia.org/resource/Professor","Professor",1931
"http://dbpedia.org/resource/Roger_Penrose","http://dbpedia.org/resource/Mathematical_physics","Mathematical physics",1931
"http://dbpedia.org/resource/Valentina_Borok","http://dbpedia.org/resource/Mathematician","Mathematician",1931
"http://dbpedia.org/resource/Bernard_Morin","http://dbpedia.org/resource/Topology","Topology",1931
"http://dbpedia.org/resource/Roger_Penrose","http://dbpedia.org/resource/Tessellation","Tessellation",1931
"http://dbpedia.org/resource/Leonard_Gross","http://dbpedia.org/resource/Mathematics","Mathematics",1931
"http://dbpedia.org/resource/Bryan_John_Birch","http://dbpedia.org/resource/Mathematics","Mathematics",1931
"http://dbpedia.org/resource/Leonard_Gross","http://dbpedia.org/resource/Mathematical_physics","Mathematical physics",1931
"http://dbpedia.org/resource/Stanisław_Knapowski","http://dbpedia.org/resource/Mathematician","Mathematician",1931
"http://dbpedia.org/resource/Felix_Berezin","http://dbpedia.org/resource/Mathematics","Mathematics",1931
"http://dbpedia.org/resource/Felix_Berezin","http://dbpedia.org/resource/Theoretical_physics","Theoretical physics",1931
"http://dbpedia.org/resource/Anatoli_Georgievich_Vitushkin","http://dbpedia.org/resource/Mathematician","Mathematician",1931
"http://dbpedia.org/resource/Heisuke_Hironaka","http://dbpedia.org/resource/Mathematics","Mathematics",1931
"http://dbpedia.org/resource/Lars_Hörmander","http://dbpedia.org/resource/Mathematics","Mathematics",1931
"http://dbpedia.org/resource/Surindar_Kumar_Trehan","http://dbpedia.org/resource/Mathematics","Mathematics",1931
"http://dbpedia.org/resource/Surindar_Kumar_Trehan","http://dbpedia.org/resource/Magnetohydrodynamics","Magnetohydrodynamics",1931
"http://dbpedia.org/resource/Jan_Terlouw","http://dbpedia.org/resource/Politician","Politician",1931
"http://dbpedia.org/resource/Surindar_Kumar_Trehan","http://dbpedia.org/resource/Non-linear","Non-linear",1931
"http://dbpedia.org/resource/Jan_Terlouw","http://dbpedia.org/resource/Pundit","Pundit",1931
"http://dbpedia.org/resource/Jan_Terlouw","http://dbpedia.org/resource/Nuclear_physics","Nuclear physics",1931
"http://dbpedia.org/resource/Jan_Terlouw","http://dbpedia.org/resource/Professor","Professor",1931
"http://dbpedia.org/resource/Jan_Terlouw","http://dbpedia.org/resource/Mathematician","Mathematician",1931
"http://dbpedia.org/resource/Jan_Terlouw","http://dbpedia.org/resource/Author","Author",1931
"http://dbpedia.org/resource/Jan_Terlouw","http://dbpedia.org/resource/Nonprofit_organization","Nonprofit organization",1931
"http://dbpedia.org/resource/Jan_Terlouw","http://dbpedia.org/resource/Research","Research",1931
"http://dbpedia.org/resource/Mark_Mahowald","http://dbpedia.org/resource/Mathematics","Mathematics",1931
